2024 - Octubre | Nacional | 8103.267333 | 804.081614
2024 - Octubre | Nacional | 8503.342667 | 681.335171
2024 - Noviembre | Nacional | 9194.649833 | 888.583057
2024 - Noviembre | Nacional | 6783.605000 | 733.678543
2024 - Noviembre | Nacional | 7510.384333 | 1025.663200
2024 - Noviembre | Nacional | 8221.185833 | 1001.642171
2024 - Noviembre | Nacional | 8678.369000 | 666.979786
2024 - Diciembre | Nacional | 9399.754183 | 850.172629
2024 - Diciembre | Nacional | 6944.677850 | 717.292571
2024 - Diciembre | Nacional | 7649.816117 | 948.844186
2024 - Diciembre | Nacional | 8314.454400 | 763.102786
2024 - Diciembre | Nacional | 8861.064600 | 1075.018757
2025 - Enero | Nacional | 9571.075500 | 1055.681157
2025 - Enero | Nacional | 7109.072017 | 685.720086
2025 - Enero | Nacional | 7663.191200 | 894.731171
2025 - Enero | Nacional | 8458.282133 | 741.319329
2025 - Enero | Nacional | 9049.297517 | 998.830843
2025 - Febrero | Nacional | 9902.182350 | 818.556286
2025 - Febrero | Nacional | 7206.760400 | 1147.079843
2025 - Febrero | Nacional | 7678.509500 | 1110.524400
2025 - Febrero | Nacional | 8552.126517 | 764.487771
2025 - Febrero | Nacional | 9309.754767 | 945.665286
2025 - Marzo | Nacional | 10446.484117 | 777.054129
2025 - Marzo | Nacional | 7251.522417 | 1068.724586
2025 - Marzo | Nacional | 7977.352967 | 876.830571
2025 - Marzo | Nacional | 8672.539300 | 1200.116543
2025 - Marzo | Nacional | 9565.617667 | 1173.604543
2025 - Abril | Nacional | 10771.170600 | 811.698757
2025 - Abril | Nacional | 7449.699067 | 990.029971
2025 - Abril | Nacional | 8263.132667 | 801.308471
2025 - Abril | Nacional | 8747.869150 | 1124.824857
2025 - Abril | Nacional | 9820.423500 | 912.400457
2025 - Mayo | Nacional | 10837.192300 | 1267.187429
2025 - Mayo | Nacional | 7499.402517 | 1245.547271
2025 - Mayo | Nacional | 8376.182983 | 844.864014
2025 - Mayo | Nacional | 8855.007833 | 1042.283414
2025 - Mayo | Nacional | 10063.816667 | 822.918414
2025 - Junio | Nacional | 10882.217100 | 1206.879814
2025 - Junio | Nacional | 7698.727550 | 982.437600
2025 - Junio | Nacional | 8438.621883 | 1324.806729
2025 - Junio | Nacional | 9027.025650 | 1316.442486
2025 - Junio | Nacional | 10144.548617 | 913.825586
2025 - Julio | Nacional | 11070.525900 | 1127.346914
2025 - Julio | Nacional | 7748.040083 | 829.460529
2025 - Julio | Nacional | 8409.216233 | 1289.223514
