07 | Transporte  | Nivel general y divisiones COICOP | 237.3329 | 2 | 63.3 | GBA | 2015 - Junio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 266.2708 | 7.9 | 69.2 | GBA | 2015 - Junio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 202.8122 | 3.2 | 46.3 | GBA | 2015 - Junio
10 | Educaci n  | Nivel general y divisiones COICOP | 228.9437 | 2.1 | 47.9 | GBA | 2015 - Junio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 205.682 | 2.1 | 46.3 | GBA | 2015 - Junio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 276.9197 | 2.4 | 56.8 | GBA | 2015 - Julio
06 | Salud  | Nivel general y divisiones COICOP | 240.7959 | 3.9 | 60.8 | GBA | 2015 - Julio
07 | Transporte  | Nivel general y divisiones COICOP | 237.3299 | 0 | 56.6 | GBA | 2015 - Julio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 266.7107 | 0.2 | 68.8 | GBA | 2015 - Julio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 211.161 | 4.1 | 45.4 | GBA | 2015 - Julio
10 | Educaci n  | Nivel general y divisiones COICOP | 234.0668 | 2.2 | 47.9 | GBA | 2015 - Julio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 211.426 | 2.8 | 46 | GBA | 2015 - Julio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 281.3647 | 1.6 | 46.7 | GBA | 2015 - Agosto
06 | Salud  | Nivel general y divisiones COICOP | 253.7682 | 5.4 | 61.3 | GBA | 2015 - Agosto
07 | Transporte  | Nivel general y divisiones COICOP | 247.2147 | 4.2 | 57.9 | GBA | 2015 - Agosto
08 | Comunicaci n  | Nivel general y divisiones COICOP | 270.3128 | 1.4 | 48.4 | GBA | 2015 - Agosto
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 222.3902 | 5.3 | 51 | GBA | 2015 - Agosto
10 | Educaci n  | Nivel general y divisiones COICOP | 238.4995 | 1.9 | 47.8 | GBA | 2015 - Agosto
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 218.1493 | 3.2 | 47 | GBA | 2015 - Agosto
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 285.7905 | 1.6 | 47.9 | GBA | 2015 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 272.9536 | 7.6 | 66.3 | GBA | 2015 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 258.2652 | 4.5 | 49.1 | GBA | 2015 - Mayo
